ATL,1
IND,2
BUF,3
CHI,4
CIN,5
BAL,6
DAL,7
DEN,8
DET,9
G B,10
TEN,11
K C,12
LAR,13
MIA,14
MIN,15
N E,16
N O,17
NYG,18
NYJ,19
OAK,20
PHI,21
PIT,22
ARI,23
LAC,24 
S F,25
SEA,26
T B,27
WAS,28
CAR,29
JAC,30
CLE,31
HOU,32
